Blog	four	looking	second	here	music	until	example	want	feature	wrong	easier	series	re	wasn	service	needed	project	came	than	best	men	asked	chrome	much	life	worked	things	had	easy	possible	right	old	people	o	support	call	happy	inside	time	leave	team	love	working	awesome	such	data	years	course	didn	internet	million	quite	city	future	san	say	saw	note	take	ways	going	where	sites	screen	many	wants	photos	technology	being	around	world	power	favorite	image	her	gone	am	original	tv	th	large	small	past	hours	social	action	via	company	learn	sense	huge	its	always	found	really	research	major	sell	self	also	play	sometimes	set	see	currently	available	last	whole	community	read	recent	person	couple	d	anything	into	link	line	posted	us	ago	having	code	results	young	try	video	let	great	makes	tools	next	high	process	move	doing	could	system	face	fact	should	hope	means	stuff	edition	email	co	off	less	web	five	become	software	problem	worth	red	above	told	word	work	interview	after	order	office	then	them	network	created	another	do	away	terms	com	air	voice	hand	photo	thanks	night	comments	post	months	way	war	true	update	together	global	change	usually	market	live	car	write	product	remember	still	half	now	year	space	shows	online	america	only	between	article	comes	these	media	thinking	real	early	business	aren	start	lot	trying	building	since	month	very	family	put	almost	site	history	help	actually	android	event	issue	ask	launch	american	mobile	latest	pretty	during	x	close	won	probably	both	else	look	while	ready	used	user	game	popular	step	within	computer	doesn	happens	youtube	go	does	facebook	download	started	control	links	including	him	front	keep	exactly	need	able	based	she	state	party	well	page	twitter	home	he	friends	using	companies	likely	even	ever	never	tell	give	before	better	weeks	went	side	open	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	down	digital	weekend	daily	finally	did	run	making	may	maybe	talk	nbsp	group	interesting	thing	think	first	long	little	anyone	were	performance	especially	show	behind	get	reading	morning	enough	across	similar	according	among	those	different	same	money	images	e	videos	general	again	important	u	starting	public	search	two	share	needs	coming	through	good	button	everyone	house	hard	idea	done	least	part	built	click	build	most	find	giant	common	please	point	simple	simply	understand	talking	fun	itself	yesterday	spent	big	bit	google	often	back	either	forward	single	giving	others	bunch	ll	age	day	announced	ipad	text	national	taking	value	center	thought	add	works	buy	j	special	under	every	school	street	changes	would	phone	must	me	times	end	over	writing	each	driving	got	free	days	already	top	too	tool	took	though	watch	amazon	report	full	however	news	experience	several	everything	head	hear	check	no	cool	says	goes	iphone	today	continue	local	information	happened	name	turn	place	white	released	any	ideas	sure	later	come	case	myself	someone	html	week	without	model	seems	blog	there	program	far	list	design	version	known	rather	short	might	number	man	expect	friday	feel	story	store	kind	added	nothing	his	hit	art	recently	attention	question	called	users	helping	once	issues	apple	heart	app	use	few	women	getting	something	six	instead	looks	our	york	which	who	why	view	stories	job	april	perhaps	gets	other	smart	know	press	because	lead	create	own	apps	made	whether	book
Publishing 2.0	0	1	1	7	0	0	2	2	6	1	0	0	8	0	1	0	2	0	3	3	0	1	0	3	0	0	1	5	1	0	6	1	3	0	1	0	0	0	2	0	1	0	0	2	0	1	2	1	0	4	1	1	1	21	0	1	1	0	1	0	3	4	5	1	6	0	0	4	2	4	2	1	0	0	0	1	6	2	2	0	0	0	0	0	1	2	0	3	0	0	0	4	0	1	0	0	2	4	0	1	1	1	2	2	0	0	4	0	0	1	3	0	0	1	0	1	12	0	2	6	1	0	1	1	0	0	0	1	6	0	1	2	2	0	0	3	8	0	0	1	4	2	1	1	2	1	0	1	1	22	1	4	0	1	0	0	0	0	0	2	0	0	0	0	2	1	2	0	0	2	1	2	10	0	0	0	1	0	0	0	9	1	4	0	1	1	1	0	1	1	2	0	0	0	1	0	3	0	8	1	2	1	9	0	1	0	5	2	5	13	2	0	0	7	0	2	3	2	0	2	0	2	0	3	1	9	1	2	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	2	0	0	3	0	2	2	2	0	1	0	0	1	1	3	1	0	5	0	1	2	7	0	0	2	1	2	2	0	1	0	2	0	1	12	6	0	5	0	2	8	0	0	0	0	1	0	0	0	1	0	0	3	14	2	2	1	3	0	6	5	1	0	0	1	0	2	3	0	5	2	2	0	1	2	2	0	2	1	0	0	3	3	0	1	0	0	2	1	2	8	2	0	3	0	0	0	1	1	6	8	0	3	1	1	1	0	2	0	0	3	0	2	0	2	0	7	1	0	0	1	3	1	3	0	5	1	0	2	1	1	1	0	1	0	0	0	0	13	1	0	0	0	0	2	0	1	0	0	0	1	0	4	1	9	2	1	0	1	0	0	1	1	2	2	0	1	0	3	1	0	7	0	0	0	1	0	1	0	0	2	0	0	1	2	0	0	1	4	2	4	1	1	0	3	2	3	1	1	2	0	0	1	0	0	2	5	0	56	0	1	3	3	0	0	6	1	0	1	0	5	2	3	3	1	1	0	0	0	0	3	0	1	0	1	2	0	1	0	5	1	3	1	6	10	2	0	0	0	0	0	2	0	1	2	0	0	0	0	4	0	5	1	1	4	0	0	1	1	4	3	1	3	0	0	0	2	0	2	4	0	0	0	0	1	1	8	5	11	2	9	0	9	0	0	1	2	7	0	2	3	5	2	1	2	0	1	1	2
mezzoblue	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Eschaton	0	0	1	2	0	0	0	1	0	1	0	0	8	0	0	0	0	0	2	5	0	1	0	3	0	0	1	2	1	0	0	1	4	3	2	0	2	0	1	0	0	0	0	0	2	0	0	3	2	0	2	4	0	0	0	2	0	0	1	0	2	2	0	0	1	0	0	0	1	2	2	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	5	1	0	2	0	0	0	1	0	3	1	0	0	2	0	4	0	0	0	5	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	3	0	1	2	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	2	2	0	0	1	1	3	0	0	0	0	1	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	2	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	1	0	1	0	0	0	2	0	1	0	0	4	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	14	0	0	0	1	5	0	4	0	0	0	0	0	1	0	1	0	5	0	0	0	1	11	2	1	4	0	2	1	0	1	0	2	2	1	3	0	1	0	0	0	0	3	1	0	0	1	0	1	0	0	1	10	1	0	1	1	1	0	2	1	0	5	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	1	2	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	3	0	0	2	0	0	0	0	0	0	2	1	0	0	1	0	1	0	1	0	1	0	0	0	1	3	2	0	3	0	0	0	2	1	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	1	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	2	0	1	6	1	0	0	0	0	0	1	0	0	3	0	5	0	0	0	0	1	0	0
PerezHilton	0	0	0	8	2	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	3	0	0	0	0	0	3	1	0	0	2	0	0	2	0	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	4	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	1	1	3	3	0	0	0	0	1	2	2	1	0	0	0	1	0	0	1	0	0	0	0
Slashdot	0	1	0	1	0	1	3	2	0	1	1	0	8	0	2	0	7	0	4	1	1	0	5	3	1	0	3	1	0	2	5	0	6	0	5	1	0	0	6	0	1	0	2	0	0	5	7	0	1	2	0	1	0	5	0	2	0	0	0	0	0	3	1	0	3	0	1	5	2	2	7	4	0	0	0	0	0	2	0	0	1	3	1	0	1	2	0	5	0	2	0	5	2	2	1	4	1	0	4	7	0	1	1	1	2	4	2	0	1	25	1	1	0	8	0	6	1	0	0	2	2	0	6	0	1	0	3	0	0	1	0	3	3	0	2	1	2	4	0	4	3	0	1	0	0	0	0	0	0	3	0	2	6	1	1	1	0	1	0	6	0	4	1	1	1	4	7	3	1	6	1	2	0	0	1	0	3	1	0	0	2	0	3	0	0	1	1	1	3	0	1	0	7	2	0	1	6	1	11	3	1	0	0	0	6	0	0	2	6	0	1	3	2	0	1	0	1	2	0	0	0	2	0	3	0	2	1	2	1	1	0	3	2	1	1	2	1	2	1	1	2	0	0	1	0	2	1	0	7	4	9	2	5	4	4	2	0	2	1	7	5	2	1	4	0	2	0	1	0	1	3	0	1	0	0	0	3	0	1	0	1	1	10	2	1	7	1	1	0	1	0	1	0	1	2	5	0	1	1	1	2	0	0	1	0	0	0	4	1	0	4	0	4	0	6	0	2	1	2	0	0	0	2	3	1	6	1	0	0	2	1	0	2	4	2	3	3	3	3	2	0	0	5	0	0	2	0	1	2	1	1	4	9	0	0	0	0	1	2	2	1	2	0	1	4	1	0	2	5	4	0	0	1	0	0	1	0	2	3	0	1	2	0	0	1	0	1	0	2	1	0	0	1	0	0	0	1	13	1	4	1	0	2	0	4	0	1	0	0	2	2	0	0	0	0	0	0	1	3	0	0	0	1	2	0	0	1	5	2	0	0	0	2	6	1	1	6	0	1	2	2	0	3	0	1	3	4	0	3	0	2	2	0	3	1	1	0	1	5	1	2	0	3	4	0	1	2	0	2	0	1	0	2	4	1	1	1	2	0	0	0	0	0	4	1	2	1	11	2	1	0	1	1	0	3	0	3	0	0	3	0	0	25	3	0	2	0	3	0	1	1	0	2	3	7	0	1	2	4	7	0	5	2	3	2	3	0	2	3	2	0	4	3	5	1	0	2	0	0	1	6	0	2	0	1	0	0	3	2	4	0	1
Matt Cutts: Gadgets, Google, and SEO	0	0	0	0	0	0	0	2	0	0	0	0	4	1	0	0	1	0	0	0	0	2	2	0	0	0	1	1	0	0	0	1	2	0	1	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	2	2	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	1	0	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	1	0	0	2	0	2	1	0	0	1	0	0	0	0	0	0	1	3	2	1	2	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	5	0	3	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	3	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	2	0	1	1	1	0	0	0	1	0	0	0	0	1	0	2	0	0	1	1	2	0	0
How to Change the World	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10
Gothamist	0	2	0	3	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	2	0	0	0	2	2	0	0	2	0	0	0	1	0	3	0	0	0	1	1	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	3	2	1	3	0	1	0	0	2	0	1	2	0	0	0	1	0	0	0	0	1	0	1	1	2	0	1	0	4	1	0	0	0	0	0	1	1	2	0	0	1	3	0	1	0	0	1	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	2	0	0	0	4	0	3	0	2	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	3	4	1	0	0	0	2	0	0	0	1	0	0	0	3	1	0	0	1	0	0	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	3	0	1	1	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	1	3	0	1	1	1	0	1	1	0	2	1	0	2	0	5	0	1	0	0	1	1	0	1	0	1	1	0	1	2	1	0	0	0	0	0	0	3	3	2	0	0	1	2	0	5	0	1	1	1	0	2	3	0	3	0	1	1	0	0	1	2	0	0	0	0	0	0	0	4	0	0	8	0	0	0	1	2	0	4	0	2	0	3	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	4	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	4	4	0	1	0	0	0	2	1	2	1	0	0	0	0	1	0	2	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	3	1	1	1	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	1	1	1	0	0	0	0	0	1	0	3	0	1	0	3	1	0	0	0	3	3	1	1	1	0	2	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	2	1	3	6	0	0	3	2	0	1	0	1	0	0	1	2	0	0	1	0	0	0	0
we make money not art	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	3	0	0	0	0	0	1	0	0	1	1	0	0	1	4	0	0	0	0	2	1	0	0	1	2	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	2	7	0	0	2	0	0	0	0	0	1	0	1	0	0	0	1	3	0	0	1	0	2	1	1	2	1	1	1	0	3	1	0	0	3	0	2	0	2	2	0	1	0	0	0	0	1	0	0	0	12	0	1	0	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	2	0	0	2	0	0	0	0	8	2	1	0	0	1	1	0	0	1	3	0	1	1	1	0	0	1	0	0	0	0	1	2	0	0	0	0	1	1	1	2	1	0	0	0	0	1	0	3	2	1	2	1	0	2	3	0	1	2	0	0	2	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	4	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	2	2	3	0	0	5	1	0	2	1	1	1	0	1	0	0	1	1	1	0	0	1	0	2	1	0	1	0	2	0	0	0	1	0	2	0	3	0	2	0	0	0	0	0	1	2	0	0	0	4	0	1	0	1	2	1	0	1	0	1	1	0	1	0	0	1	1	2	0	1	0	1	0	2	2	1	0	0	0	0	0	0	2	0	1	2	0	0	2	0	0	0	0	0	0	0	1	1	2	0	0	1	2	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	2	0	0	0	0	0	1	0	6	0	0	2	0	0	0	0	0	1	0	0	0	0	1	2	2	0	0	1	0	0	0	3	0	0	0	0	0	15	0	2	0	0	1	1	1	0	1	3	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	4	0	2	0	1	4	0	8	1	1	0	1	0	1	0	0	0	0	3	2	0	2	0	0	0	1	2	7	0	4	4	0	1	1	0	0	0	0	2	0	3	0	1	0	2	3	0	2	2	4
PaulStamatiou.com - Tech News, Reviews and Guides	2	16	12	54	15	28	43	88	26	5	13	5	81	14	23	18	5	11	65	37	0	11	23	114	19	13	47	80	25	11	56	27	66	8	15	12	10	11	113	8	13	29	52	2	29	45	22	25	36	6	5	19	3	15	8	16	2	16	52	9	44	68	15	60	51	11	107	3	39	50	12	9	6	102	2	3	23	2	11	1	28	20	13	23	9	11	18	20	14	9	9	23	23	24	43	2	2	1	3	73	19	3	50	71	18	8	45	5	9	85	10	12	0	57	20	95	19	17	2	23	14	43	32	16	2	18	13	33	34	22	9	39	17	36	7	21	42	7	4	4	52	4	14	17	6	82	2	24	22	41	2	8	9	9	7	7	17	5	4	55	2	69	2	19	87	123	16	15	35	139	20	5	51	14	6	1	123	11	4	10	143	16	49	0	13	15	9	4	23	13	5	10	2	22	34	11	43	12	110	28	8	5	8	0	146	27	20	16	49	95	19	13	13	5	5	25	31	20	9	43	27	32	15	21	11	101	7	29	31	71	5	11	8	7	0	101	6	25	15	90	13	17	20	29	8	42	51	6	45	106	4	9	21	5	14	32	10	3	37	28	14	6	34	13	11	19	3	8	32	18	78	23	18	0	8	4	45	63	62	21	13	24	60	4	14	58	17	21	19	11	34	69	9	8	13	27	79	8	14	8	21	7	94	110	9	6	18	12	1	4	12	33	54	17	0	11	26	29	8	4	7	6	26	38	10	31	8	13	0	11	19	42	40	112	23	21	4	31	5	5	25	6	121	19	4	18	6	10	0	3	44	34	43	11	55	12	3	5	22	17	0	13	7	61	25	28	11	12	37	46	29	17	1	27	21	32	10	48	10	23	19	60	45	0	2	9	26	20	13	3	20	4	9	1	7	27	45	63	24	54	13	2	12	6	9	10	82	3	31	3	21	33	0	8	16	3	21	26	19	8	2	4	3	37	2	2	9	92	25	18	182	21	51	40	15	46	2	33	11	17	21	20	57	6	15	27	10	46	3	17	18	14	38	25	45	14	9	9	82	6	4	14	35	10	4	9	8	1	28	8	12	3	4	74	11	33	29	27	19	20	15	32	38	26	6	17	91	132	6	12	15	83	43	3	23	3	14	11	0	4	0	10	6	15	16	13	8	13	6	4	18	5	2	18	63	3	10	18	23	3	80	156	88	0	33	48	4	30	51	76	4	56	16	37	10	0	12	2	4	10	71	7	46	3	25	4	36	46	32	28	6	8
BuzzMachine	0	0	0	6	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	5	0	1	0	0	2	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	1	0	1	0	1	5	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	2	1	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	0	3	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	2	0	4	1	0	0	0	3	0	0	0	0	0	0	0	4	0	1	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	2	1	0	0	1	0	0	0	1	0	2	0	0	2	0	0	2	3	1	2	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0	0	0	2	1	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
